species_binomial	organism_name	assembly_accession	taxid	species_taxid	assembly_level	version_status	refseq_category	ftp_path	protein_faa_url
Clostridium perfringens	Clostridium perfringens str. 13	GCF_000009685.1	195102	1502	Complete Genome	latest	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/685/GCF_000009685.1_ASM968v1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/685/GCF_000009685.1_ASM968v1/GCF_000009685.1_ASM968v1_protein.faa.gz
Clostridium perfringens	Clostridium perfringens	GCF_016027375.1	1502	1502	Complete Genome	latest	reference genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/027/375/GCF_016027375.1_ASM1602737v1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/027/375/GCF_016027375.1_ASM1602737v1/GCF_016027375.1_ASM1602737v1_protein.faa.gz
Corynebacterium glutamicum	Corynebacterium glutamicum R	GCF_000010225.1	340322	1718	Complete Genome	latest	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/010/225/GCF_000010225.1_ASM1022v1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/010/225/GCF_000010225.1_ASM1022v1/GCF_000010225.1_ASM1022v1_protein.faa.gz
Corynebacterium glutamicum	Corynebacterium glutamicum ATCC 13032	GCF_000011325.1	196627	1718	Complete Genome	latest	reference genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/325/GCF_000011325.1_ASM1132v1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/325/GCF_000011325.1_ASM1132v1/GCF_000011325.1_ASM1132v1_protein.faa.gz
Cutibacterium acnes	Cutibacterium acnes KPA171202	GCF_000008345.1	267747	1747	Complete Genome	latest	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/345/GCF_000008345.1_ASM834v1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/345/GCF_000008345.1_ASM834v1/GCF_000008345.1_ASM834v1_protein.faa.gz
Cutibacterium acnes	Cutibacterium acnes subsp. acnes	GCF_006739385.1	1734925	1747	Complete Genome	latest	reference genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/739/385/GCF_006739385.1_ASM673938v1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/739/385/GCF_006739385.1_ASM673938v1/GCF_006739385.1_ASM673938v1_protein.faa.gz
Enterococcus faecalis	Enterococcus faecalis V583	GCF_000007785.1	226185	1351	Complete Genome	latest	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/785/GCF_000007785.1_ASM778v1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/785/GCF_000007785.1_ASM778v1/GCF_000007785.1_ASM778v1_protein.faa.gz
Enterococcus faecalis	Enterococcus faecalis OG1RF	GCF_000172575.2	474186	1351	Complete Genome	latest	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/172/575/GCF_000172575.2_ASM17257v2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/172/575/GCF_000172575.2_ASM17257v2/GCF_000172575.2_ASM17257v2_protein.faa.gz
Escherichia coli	Escherichia coli str. K-12 substr. MG1655	GCF_000005845.2	511145	562	Complete Genome	latest	reference genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/005/845/GCF_000005845.2_ASM584v2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/005/845/GCF_000005845.2_ASM584v2/GCF_000005845.2_ASM584v2_protein.faa.gz
Escherichia coli	Escherichia coli O157:H7 str. Sakai	GCF_000008865.2	386585	562	Complete Genome	latest	reference genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/865/GCF_000008865.2_ASM886v2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/865/GCF_000008865.2_ASM886v2/GCF_000008865.2_ASM886v2_protein.faa.gz
